Latitude: 40.82547, Longitude: -73.91062

Latitude: 40.81634, Longitude: -73.81864

Latitude: 40.8145, Longitude: -73.88549

Latitude: 40.848309, Longitude: -73.904449

Latitude: 40.83533, Longitude: -73.86114

Latitude: 40.88642, Longitude: -73.86021

Latitude: 40.89775, Longitude: -73.84696

Latitude: 40.83085, Longitude: -73.89246

Latitude: 40.86766, Longitude: -73.84762

Latitude: 40.87712, Longitude: -73.85696

Latitude: 40.8744, Longitude: -73.88387

Latitude: 40.80849, Longitude: -73.93189

Latitude: 40.80984, Longitude: -73.92992

Latitude: 40.81992, Longitude: -73.9079

Latitude: 40.87775, Longitude: -73.85832

Latitude: 40.82992, Longitude: -73.91626

Latitude: 40.86894, Longitude: -73.89411

Latitude: 40.87719697393565, Longitude: -73.8597721211623

Latitude: 40.84353, Longitude: -73.90542

Latitude: 40.90505, Longitude: -73.84651

Latitude: 40.86817, Longitude: -73.90162

Latitude: 40.84997, Longitude: -73.90533

Latitude: 40.8251, Longitude: -73.84716

Latitude: 40.84771, Longitude: -73.84733

Latitude: 40.84622, Longitude: -73.84862

Latitude: 40.80862, Longitude: -73.85311

Latitude: 40.82749, Longitude: -73.81481

Latitude: 40.85011, Longitude: -73.86246

Latitude: 40.83165, Longitude: -73.91821

Latitude: 40.86951, Longitude: -73.85172

Latitude: 40.8469, Longitude: -73.90458

Latitude: 40.86814, Longitude: -73.8946

Latitude: 40.84327, Longitude: -73.84721

Latitude: 40.81361, Longitude: -73.88933

Latitude: 40.84477, Longitude: -73.89273

Latitude: 40.85378, Longitude: -73.86383

Latitude: 40.84395, Longitude: -73.90565

Latitude: 40.87152, Longitude: -73.87713

Latitude: 40.8181, Longitude: -73.89533

Latitude: 40.88812, Longitude: -73.86039

Latitude: 40.82864, Longitude: -73.92469

Latitude: 40.88279, Longitude: -73.89765

Latitude: 40.84885, Longitude: -73.88601

Latitude: 40.89657, Longitude: -73.85133

Latitude: 40.83996, Longitude: -73.85937

Latitude: 40.82005, Longitude: -73.81651

Latitude: 40.83149, Longitude: -73.88841

Latitude: 40.85298, Longitude: -73.85707

Latitude: 40.85658, Longitude: -73.79095

Latitude: 40.87972, Longitude: -73.88012

Latitude: 40.87934, Longitude: -73.86055

Latitude: 40.8961, Longitude: -73.85651

Latitude: 40.90884, Longitude: -73.9013

Latitude: 40.81819, Longitude: -73.82111

Latitude: 40.81002, Longitude: -73.85127

Latitude: 40.88485, Longitude: -73.89343

Latitude: 40.89781, Longitude: -73.85693

Latitude: 40.80872, Longitude: -73.92185

Latitude: 40.83375, Longitude: -73.92715

Latitude: 40.82859, Longitude: -73.91957

Latitude: 40.86694, Longitude: -73.89285

Latitude: 40.82965, Longitude: -73.88403

Latitude: 40.88517, Longitude: -73.89753

Latitude: 40.89276, Longitude: -73.84592

Latitude: 40.89173, Longitude: -73.85882

Latitude: 40.84662, Longitude: -73.91067

Latitude: 40.87859, Longitude: -73.84126

Latitude: 40.90059, Longitude: -73.8446

Latitude: 40.87953, Longitude: -73.8669

Latitude: 40.89648, Longitude: -73.85145

Latitude: 40.82451, Longitude: -73.85288

Latitude: 40.83577, Longitude: -73.83502

Latitude: 40.81275, Longitude: -73.8896

Latitude: 40.82092, Longitude: -73.85138

Latitude: 40.8484, Longitude: -73.92261

Latitude: 40.83104, Longitude: -73.89533

Latitude: 40.82935, Longitude: -73.81375

Latitude: 40.89032, Longitude: -73.85679

Latitude: 40.86263, Longitude: -73.86518

Latitude: 40.81244, Longitude: -73.88938

Latitude: 40.82567, Longitude: -73.82069

Latitude: 40.81418, Longitude: -73.88878

Latitude: 40.8424, Longitude: -73.88425

Latitude: 40.83345, Longitude: -73.82839

Latitude: 40.83171, Longitude: -73.93003

Latitude: 40.80991, Longitude: -73.91211

Latitude: 40.86823, Longitude: -73.85762

Latitude: 40.85559, Longitude: -73.86235

