,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
17250,33138874,The Heart of the Bronx,249500015,Pedro,Bronx,Soundview,40.82639,-73.87021,Entire home/apt,121,2,168,2022-08-26,4.01,1,116,51,,
17265,33363084,E community that is commercially inclined.No smoke,242175033,Alex,Bronx,Allerton,40.8584,-73.8658,Entire home/apt,84,1,121,2021-10-23,2.89,1,37,1,,
17272,32978570,Large bedroom with 200SF outdoor patio,97853468,Steven,Bronx,Hunts Point,40.81767,-73.8899,Private room,45,5,8,2021-05-28,0.19,3,129,0,,
17278,33168922,Ten minutes drive to seafood world -City Island,217507116,Prince,Bronx,Co-op City,40.8663,-73.82304,Private room,70,3,25,2022-08-22,0.7,1,353,11,,
17291,33214803,Spacious/Comfortable Close to Yankee Stadium/City,11379822,Danny,Bronx,Mount Hope,40.84678,-73.90422,Private room,53,3,16,2022-09-01,0.38,3,220,10,,
17301,33005220,Stay with a Living New York City Artist!,248404100,Ligel,Bronx,Morris Heights,40.8461,-73.9156,Private room,125,1,77,2020-03-17,1.83,1,250,0,,
17317,33528562,"Private, warm & inviting contemporary bedroom.",252641467,Antoinette,Bronx,Wakefield,40.88524,-73.85477,Private room,92,30,10,2021-04-24,0.27,1,0,0,,
17328,33412533,☆2-Bedroom Bronx Beauty!☆,251704655,Hamza,Bronx,Port Morris,40.80115,-73.91567,Entire home/apt,186,2,111,2022-08-28,2.69,3,317,50,,
17331,33422954,Spacious Studio SHARED,251781156,Trinize,Bronx,Tremont,40.84394,-73.88712,Shared room,26,2,73,2022-02-25,1.75,1,0,6,,
17416,33560762,Alojamiento Betsaida.,252855885,Delsy,Bronx,Kingsbridge,40.86466,-73.89957,Private room,30,1,18,2019-12-04,0.45,1,68,0,,
17429,33787433,☆3-Bedroom Spacious Apartment☆,251704655,Hamza,Bronx,Port Morris,40.80097,-73.91421,Entire home/apt,185,2,95,2022-08-29,2.32,3,205,42,,
17431,33788019,☆Sun-Filled 3-Bedroom Apartment in Bronx☆,251704655,Hamza,Bronx,Port Morris,40.80242,-73.91383,Entire home/apt,185,2,98,2022-08-29,2.4,3,211,50,,
17446,33603476,A beautiful Gem,4621134,Ulrika,Bronx,Clason Point,40.80509,-73.84952,Private room,100,30,2,2019-06-07,0.05,1,0,0,,
17454,33613736,"Bright Large Room, great location, backyard",5704932,Victor,Bronx,Fordham,40.86648,-73.8888,Private room,49,30,16,2021-10-03,0.38,4,0,1,,
17521,33883949,New Building Room 6 from 1,203266238,Steve,Bronx,Morris Park,40.85375,-73.85185,Private room,55,15,2,2019-07-26,0.05,6,0,0,,
17526,33907325,TW #8 Queen Bed  1 to 2 guest only,211136294,Erika And Sharon,Bronx,Schuylerville,40.83705,-73.83509,Private room,99,1,169,2022-08-21,4.1,6,83,50,,
17639,34343028,Cozy Bronx Apartment Near Yankee Stadium!!!,259282634,Dametria,Bronx,Morris Heights,40.84576,-73.92327,Private room,125,30,0,,,1,0,0,,
17656,34142214,"Cozy home, away from home. 15 mins from downtown.",196476281,Damien,Bronx,Concourse,40.83084,-73.92115,Private room,75,1,20,2022-08-28,0.49,2,363,7,,
17686,34180340,Sunny & Spacious Room,181233778,Aishah,Bronx,Belmont,40.85762,-73.88552,Private room,30,30,0,,,1,0,0,,
17702,34369607,Lovely and affordable place in the Bronx,178924110,Roukayatou,Bronx,Hunts Point,40.81277,-73.88679,Private room,35,30,47,2020-02-12,1.15,2,0,0,,
17737,34392044,Lovely and affordable place in the Bronx,178924110,Roukayatou,Bronx,Hunts Point,40.81266,-73.88689,Private room,45,30,43,2020-01-01,1.06,2,0,0,,
17743,34231746,Big and Bright Room in South Bronx Artist Home!,9975046,Karah,Bronx,Melrose,40.81973,-73.91405,Private room,65,3,0,,,1,0,0,,
17753,34530998,Apartment around the park,260589412,Dorcas,Bronx,Parkchester,40.83706,-73.8582,Entire home/apt,75,3,48,2022-09-04,1.26,1,133,21,,
17771,34420574,Cozy home away from home,259838485,Jenn And Mike,Bronx,Parkchester,40.8379,-73.85578,Entire home/apt,102,1,81,2022-08-27,2.01,1,6,20,,
17780,34259388,Great home for the summer ONLY,17770682,Adriana,Bronx,Concourse,40.82932,-73.92753,Entire home/apt,50,40,0,,,1,0,0,,
17786,34547230,Modern 3 Bedroom Apt in Bronx w Backyard,120622978,Suki,Bronx,Edenwald,40.89318,-73.84077,Entire home/apt,269,2,57,2022-08-21,1.58,1,78,26,,
17812,34592997,15min to upper manhattan/close to Bronx Lebanon,13664245,Denise,Bronx,Claremont Village,40.84154,-73.91022,Private room,45,5,16,2022-05-29,0.43,2,220,5,,
17861,34643695,1B. Studio & Stay. 30 minutes to Midtown Manhattan,37678939,Chantal,Bronx,Concourse Village,40.83349,-73.91017,Private room,145,2,49,2021-07-05,1.22,2,0,0,,
17875,34667590,Sunny Mott Haven Townhouse With Garden.,7850260,Raymond,Bronx,Mott Haven,40.8127,-73.90988,Entire home/apt,99,3,79,2022-09-04,2.3,3,297,31,,
17899,35058541,"Clean, Cozy, & Private One  Bedroom  Apartment",264088176,Cecilia,Bronx,Throgs Neck,40.81669,-73.82257,Entire home/apt,150,5,81,2020-10-04,2.05,1,33,0,,
17909,34868325,Airbnb on the Bruckner in the Bronx.,34655986,Curtis,Bronx,Port Morris,40.80528,-73.92515,Entire home/apt,119,7,0,,,1,0,0,,
17936,34715931,Mott Haven Dorm AA,30509656,Orit,Bronx,Port Morris,40.80912,-73.93095,Shared room,35,1,72,2022-08-07,1.79,10,97,26,,
17940,34718463,Mott Haven Dorm DD,30509656,Orit,Bronx,Port Morris,40.80893,-73.93111,Shared room,35,1,63,2022-08-01,1.56,10,90,33,,
