Latitude: 40.64975, Longitude: -74.19772

Latitude: 40.612469, Longitude: -74.085388

Latitude: 40.64817, Longitude: -74.13295

Latitude: 40.65488, Longitude: -74.20363

Latitude: 40.65529, Longitude: -74.18547

Latitude: 40.66162, Longitude: -74.12017

Latitude: 40.65664, Longitude: -74.20124

Latitude: 40.61489, Longitude: -74.08491

Latitude: 40.65652, Longitude: -74.20145

