Latitude: 40.74537, Longitude: -73.83252

Latitude: 40.74816, Longitude: -73.94653

Latitude: 40.72211, Longitude: -73.80908

Latitude: 40.76026, Longitude: -73.91776

Latitude: 40.70301, Longitude: -73.91171

Latitude: 40.74851, Longitude: -73.90332

Latitude: 40.76381, Longitude: -73.88527

Latitude: 40.72315, Longitude: -73.84251

Latitude: 40.77142, Longitude: -73.927

Latitude: 40.73669, Longitude: -73.9206

Latitude: 40.75094, Longitude: -73.89201

Latitude: 40.74162, Longitude: -73.95138

Latitude: 40.69284, Longitude: -73.76086

Latitude: 40.76827, Longitude: -73.9146

Latitude: 40.75193, Longitude: -73.88206

Latitude: 40.74268, Longitude: -73.90739

Latitude: 40.69403, Longitude: -73.83218

Latitude: 40.76596, Longitude: -73.93158

Latitude: 40.76015, Longitude: -73.79105

Latitude: 40.75502, Longitude: -73.91622

Latitude: 40.74537, Longitude: -73.83252

Latitude: 40.76726, Longitude: -73.81217

Latitude: 40.76606, Longitude: -73.91107

Latitude: 40.7375, Longitude: -73.8733

Latitude: 40.73974, Longitude: -73.88122

Latitude: 40.70808, Longitude: -73.74692

Latitude: 40.76261, Longitude: -73.94106

Latitude: 40.74472, Longitude: -73.91655

Latitude: 40.75387, Longitude: -73.82243

Latitude: 40.74276, Longitude: -73.96011

Latitude: 40.73652, Longitude: -73.91992

Latitude: 40.67667, Longitude: -73.79829

Latitude: 40.76079, Longitude: -73.93215

Latitude: 40.76074, Longitude: -73.9221

Latitude: 40.74339, Longitude: -73.91494

Latitude: 40.72239, Longitude: -73.84124

Latitude: 40.73996, Longitude: -73.92058

